Timestamp,Latitude,Longitude,Altitude_m,Battery_V,State_Message
2026-05-18 03:03:55.904,47.39783001803871,8.545629988559744,489.15979723772966,15.2,RRT* WP 1
2026-05-18 03:03:55.905,47.39783001803871,8.545629988559744,489.15979723772966,15.2,RRT* WP 1
2026-05-18 03:03:55.905,47.39783001803871,8.545629988559744,489.15979723772966,15.2,RRT* WP 1
2026-05-18 03:04:06.393,47.397800061287704,8.545569455660596,486.20395778159383,15.2,RRT* WP 2
2026-05-18 03:04:06.395,47.397800061287704,8.545569455660596,486.20395778159383,15.2,RRT* WP 2
2026-05-18 03:04:06.397,47.397800061287704,8.545569455660596,486.20395778159383,15.2,RRT* WP 2
2026-05-18 03:04:13.490,47.397877000135004,8.545594,488.0,15.2,RRT* WP 3
2026-05-18 03:04:13.491,47.397877000135004,8.545594,488.0,15.2,RRT* WP 3
2026-05-18 03:04:13.492,47.397877000135004,8.545594,488.0,15.2,RRT* WP 3
2026-05-18 03:04:20.563,47.39782765976503,8.545646809124733,488.44482341294207,15.2,RRT* WP 1
2026-05-18 03:04:20.564,47.39782765976503,8.545646809124733,488.44482341294207,15.2,RRT* WP 1
2026-05-18 03:04:20.564,47.39782765976503,8.545646809124733,488.44482341294207,15.2,RRT* WP 1
2026-05-18 03:04:27.637,47.39787955062359,8.545694012502958,486.7054238858317,15.2,RRT* WP 2
2026-05-18 03:04:27.638,47.39787955062359,8.545694012502958,486.7054238858317,15.2,RRT* WP 2
2026-05-18 03:04:27.639,47.39787955062359,8.545694012502958,486.7054238858317,15.2,RRT* WP 2
2026-05-18 03:04:34.723,47.397877000135004,8.545793437349861,488.0,15.2,RRT* WP 3
2026-05-18 03:04:34.725,47.397877000135004,8.545793437349861,488.0,15.2,RRT* WP 3
2026-05-18 03:04:34.727,47.397877000135004,8.545793437349861,488.0,15.2,RRT* WP 3
2026-05-18 03:04:41.802,47.39783884119848,8.545812500595723,488.83389616239725,15.2,RRT* WP 1
2026-05-18 03:04:41.803,47.39783884119848,8.545812500595723,488.83389616239725,15.2,RRT* WP 1
2026-05-18 03:04:41.804,47.39783884119848,8.545812500595723,488.83389616239725,15.2,RRT* WP 1
2026-05-18 03:04:48.875,47.39778179325907,8.545821595033319,487.771532467394,15.2,RRT* WP 2
2026-05-18 03:04:48.876,47.39778179325907,8.545821595033319,487.771532467394,15.2,RRT* WP 2
2026-05-18 03:04:48.876,47.39778179325907,8.545821595033319,487.771532467394,15.2,RRT* WP 2
2026-05-18 03:04:55.987,47.397742,8.545793437349861,488.0,15.2,RRT* WP 3
2026-05-18 03:04:55.987,47.397742,8.545793437349861,488.0,15.2,RRT* WP 3
2026-05-18 03:04:55.989,47.397742,8.545793437349861,488.0,15.2,RRT* WP 3
2026-05-18 03:05:03.093,47.39769731560615,8.545745854999149,491.4695946358981,15.2,RRT* WP 1
2026-05-18 03:05:03.095,47.39769731560615,8.545745854999149,491.4695946358981,15.2,RRT* WP 1
2026-05-18 03:05:03.096,47.39769731560615,8.545745854999149,491.4695946358981,15.2,RRT* WP 1
2026-05-18 03:05:10.189,47.39774695990732,8.545699607749043,490.5205503455794,15.2,RRT* WP 2
2026-05-18 03:05:10.190,47.39774695990732,8.545699607749043,490.5205503455794,15.2,RRT* WP 2
2026-05-18 03:05:10.190,47.39774695990732,8.545699607749043,490.5205503455794,15.2,RRT* WP 2
2026-05-18 03:05:17.260,47.397742,8.545594,488.0,15.2,RRT* WP 3
2026-05-18 03:05:17.261,47.397742,8.545594,488.0,15.2,RRT* WP 3
2026-05-18 03:05:17.263,47.397742,8.545594,488.0,15.2,RRT* WP 3
