Timestamp,Latitude,Longitude,Altitude_m,Battery_V,State_Message
2026-05-18 02:46:40.910,47.397877000135004,8.545594,488.0,15.2,Navigating to WP 1
2026-05-18 02:46:41.919,47.397877000135004,8.545594,488.0,15.2,Navigating to WP 1
2026-05-18 02:46:42.938,47.397877000135004,8.545594,488.0,15.2,Navigating to WP 1
2026-05-18 02:46:42.942,47.397877000135004,8.545594,488.0,15.2,EVASION TRIGGERED
2026-05-18 02:46:50.965,47.397877000135004,8.545594,488.0,15.2,Navigating to WP 1
2026-05-18 02:46:50.973,47.397877000135004,8.545594,488.0,15.2,EVASION TRIGGERED
2026-05-18 02:46:58.985,47.397877000135004,8.545594,488.0,15.2,Navigating to WP 1
2026-05-18 02:47:07.021,47.397877000135004,8.545793437349861,488.0,15.2,Navigating to WP 2
2026-05-18 02:47:08.041,47.397877000135004,8.545793437349861,488.0,15.2,Navigating to WP 2
2026-05-18 02:47:09.061,47.397877000135004,8.545793437349861,488.0,15.2,Navigating to WP 2
2026-05-18 02:47:10.084,47.397877000135004,8.545793437349861,488.0,15.2,Navigating to WP 2
2026-05-18 02:47:11.105,47.397877000135004,8.545793437349861,488.0,15.2,Navigating to WP 2
2026-05-18 02:47:19.145,47.397742,8.545793437349861,488.0,15.2,Navigating to WP 3
2026-05-18 02:47:20.167,47.397742,8.545793437349861,488.0,15.2,Navigating to WP 3
2026-05-18 02:47:21.175,47.397742,8.545793437349861,488.0,15.2,Navigating to WP 3
2026-05-18 02:47:22.196,47.397742,8.545793437349861,488.0,15.2,Navigating to WP 3
2026-05-18 02:47:22.203,47.397742,8.545793437349861,488.0,15.2,EVASION TRIGGERED
2026-05-18 02:47:30.227,47.397742,8.545793437349861,488.0,15.2,Navigating to WP 3
2026-05-18 02:47:38.257,47.397742,8.545594,488.0,15.2,Navigating to WP 4
2026-05-18 02:47:39.265,47.397742,8.545594,488.0,15.2,Navigating to WP 4
2026-05-18 02:47:40.274,47.397742,8.545594,488.0,15.2,Navigating to WP 4
2026-05-18 02:47:41.280,47.397742,8.545594,488.0,15.2,Navigating to WP 4
2026-05-18 02:47:42.285,47.397742,8.545594,488.0,15.2,Navigating to WP 4
